Crop,N,P,K,pH,soil_moisture
rice,80.0,40.0,40.0,5.5,30
maize,80.0,40.0,20.0,5.5,50
chickpea,40.0,60.0,80.0,5.5,60
kidneybeans,20.0,60.0,20.0,5.5,45
pigeonpeas,20.0,60.0,20.0,5.5,45
mothbeans,20.0,40.0,20.0,5.5,30
mungbean,20.0,40.0,20.0,5.5,80
blackgram,40.0,60.0,20.0,5.0,60
lentil,20.0,60.0,20.0,5.5,90
pomegranate,20.0,10.0,40.0,5.5,30
banana,100.0,75.0,50.0,6.5,40
mango,20.0,20.0,30.0,5.0,15
grapes,20.0,125.0,200.0,4.0,60
watermelon,100.0,10.0,50.0,5.5,70
muskmelon,100.0,10.0,50.0,5.5,30
apple,20.0,125.0,200.0,6.5,50
orange,20.0,10.0,10.0,4.0,60
papaya,50.0,50.0,50.0,6.0,20
coconut,20.0,10.0,30.0,5.0,45
cotton,120.0,40.0,20.0,5.5,70
jute,80.0,40.0,40.0,5.5,20
coffee,100.0,20.0,30.0,5.5,20
